,w,k,covg,min_cluster_size,max_cluster_distance,num_cluster_tp,num_cluster_fp,num_gene_tp,num_gene_fp,num_non_unique_entries
329,6,23,100,15,20,996,34,4551,41,0
330,6,23,100,15,30,1469,49,4782,41,0
331,6,23,100,15,40,1676,66,4831,34,0
332,6,23,100,15,80,1940,79,4896,36,0
333,6,23,100,15,160,1983,91,4888,33,0
334,6,23,100,15,250,1992,97,4889,30,0
335,6,23,100,15,320,1988,99,4888,31,0
336,6,27,15,5,20,3254,286,5425,148,0
337,6,27,15,5,30,3280,294,5428,148,0
338,6,27,15,5,40,3291,257,5404,132,0
339,6,27,15,5,80,3312,281,5350,145,0
340,6,27,15,5,160,3283,275,5285,143,0
341,6,27,15,5,250,3281,276,5271,146,0
342,6,27,15,5,320,3275,278,5269,145,0
343,6,27,15,10,20,2376,151,5168,101,0
344,6,27,15,10,30,2436,153,5176,100,0
345,6,27,15,10,40,2542,170,5175,101,0
346,6,27,15,10,80,2637,196,5165,104,0
347,6,27,15,10,160,2676,201,5133,102,0
348,6,27,15,10,250,2688,199,5129,104,0
349,6,27,15,10,320,2671,199,5114,101,0
350,6,27,15,15,20,1679,111,4903,63,0
351,6,27,15,15,30,1778,101,4933,60,0
352,6,27,15,15,40,1956,109,4987,61,0
353,6,27,15,15,80,2112,141,5022,75,0
354,6,27,15,15,160,2149,150,4999,66,0
355,6,27,15,15,250,2162,153,4986,70,0
356,6,27,15,15,320,2153,154,4985,72,0
357,6,27,30,5,20,1952,57,4935,34,0
358,6,27,30,5,30,2004,61,4920,38,0
359,6,27,30,5,40,2143,58,4921,35,0
360,6,27,30,5,80,2332,76,4916,33,0
361,6,27,30,5,160,2364,77,4909,39,0
362,6,27,30,5,250,2375,80,4900,38,0
363,6,27,30,5,320,2355,78,4899,40,0
364,6,27,30,10,20,1053,30,4587,26,0
365,6,27,30,10,30,1219,33,4668,26,0
366,6,27,30,10,40,1465,42,4754,24,0
367,6,27,30,10,80,1787,55,4819,33,0
368,6,27,30,10,160,1858,59,4825,33,0
369,6,27,30,10,250,1854,62,4814,33,0
370,6,27,30,10,320,1857,63,4821,37,0
371,6,27,30,15,20,500,13,3918,28,0
372,6,27,30,15,30,704,17,4212,25,0
373,6,27,30,15,40,941,20,4499,28,0
374,6,27,30,15,80,1365,35,4706,27,0
375,6,27,30,15,160,1438,39,4723,30,0
376,6,27,30,15,250,1444,41,4725,27,0
377,6,27,30,15,320,1449,45,4724,28,0
378,6,27,60,5,20,2366,79,5025,53,0
379,6,27,60,5,30,2422,73,5022,55,0
380,6,27,60,5,40,2528,83,5016,51,0
381,6,27,60,5,80,2636,84,4979,49,0
382,6,27,60,5,160,2683,91,4965,41,0
383,6,27,60,5,250,2681,104,4960,38,0
384,6,27,60,5,320,2680,94,4958,36,0
385,6,27,60,10,20,1393,41,4768,33,0
386,6,27,60,10,30,1539,47,4815,39,0
387,6,27,60,10,40,1774,56,4851,36,0
388,6,27,60,10,80,2017,64,4888,33,0
389,6,27,60,10,160,2091,78,4893,26,0
390,6,27,60,10,250,2096,78,4893,28,0
391,6,27,60,10,320,2092,77,4892,29,0
392,6,27,60,15,20,708,15,4294,29,0
393,6,27,60,15,30,905,22,4492,31,0
394,6,27,60,15,40,1227,29,4666,29,0
395,6,27,60,15,80,1566,39,4793,31,0
396,6,27,60,15,160,1641,47,4802,32,0
397,6,27,60,15,250,1643,51,4793,22,0
398,6,27,60,15,320,1645,53,4793,29,0
399,6,27,100,5,20,2455,80,5051,57,0
400,6,27,100,5,30,2499,79,5046,58,0
401,6,27,100,5,40,2588,90,5034,56,0
402,6,27,100,5,80,2717,100,4999,49,0
403,6,27,100,5,160,2747,97,4980,39,0
404,6,27,100,5,250,2745,111,4972,40,0
405,6,27,100,5,320,2751,103,4972,41,0
