,w,k,covg,min_cluster_size,max_cluster_distance,num_cluster_tp,num_cluster_fp,num_gene_tp,num_gene_fp,num_non_unique_entries
321,6,23,100,5,320,2852,1,4961,1,401
322,6,23,100,10,20,1738,1,4858,2,189
323,6,23,100,10,30,2018,1,4925,2,210
324,6,23,100,10,40,2172,1,4933,1,232
325,6,23,100,10,80,2329,1,4939,1,295
326,6,23,100,10,160,2343,1,4921,1,296
327,6,23,100,10,250,2350,1,4922,1,301
328,6,23,100,10,320,2345,1,4918,1,301
329,6,23,100,15,20,970,1,4530,2,119
330,6,23,100,15,30,1427,1,4757,2,154
331,6,23,100,15,40,1619,1,4806,1,180
332,6,23,100,15,80,1871,1,4869,1,209
333,6,23,100,15,160,1905,1,4863,1,225
334,6,23,100,15,250,1908,1,4865,1,233
335,6,23,100,15,320,1902,1,4863,1,239
336,6,27,15,5,20,2998,0,5310,4,801
337,6,27,15,5,30,3017,0,5313,4,816
338,6,27,15,5,40,3057,1,5302,4,720
339,6,27,15,5,80,3068,0,5239,3,778
340,6,27,15,5,160,3042,0,5175,2,767
341,6,27,15,5,250,3037,0,5161,3,773
342,6,27,15,5,320,3029,0,5160,1,777
343,6,27,15,10,20,2242,1,5093,2,458
344,6,27,15,10,30,2299,1,5101,2,462
345,6,27,15,10,40,2389,1,5102,2,494
346,6,27,15,10,80,2469,0,5092,2,539
347,6,27,15,10,160,2502,0,5064,3,543
348,6,27,15,10,250,2516,0,5057,1,546
349,6,27,15,10,320,2498,0,5045,2,540
350,6,27,15,15,20,1581,0,4856,1,318
351,6,27,15,15,30,1686,1,4888,1,296
352,6,27,15,15,40,1856,1,4941,1,314
353,6,27,15,15,80,1991,0,4969,1,389
354,6,27,15,15,160,2021,0,4955,2,386
355,6,27,15,15,250,2031,0,4941,2,397
356,6,27,15,15,320,2021,0,4939,2,402
357,6,27,30,5,20,1897,0,4910,0,171
358,6,27,30,5,30,1945,0,4891,0,187
359,6,27,30,5,40,2087,0,4893,0,177
360,6,27,30,5,80,2258,0,4887,1,211
361,6,27,30,5,160,2289,0,4881,1,218
362,6,27,30,5,250,2297,0,4871,0,225
363,6,27,30,5,320,2279,0,4870,0,223
364,6,27,30,10,20,1026,0,4566,0,104
365,6,27,30,10,30,1189,0,4647,0,110
366,6,27,30,10,40,1425,0,4735,0,125
367,6,27,30,10,80,1734,0,4795,0,165
368,6,27,30,10,160,1800,0,4802,0,173
369,6,27,30,10,250,1794,0,4790,0,179
370,6,27,30,10,320,1796,0,4795,0,187
371,6,27,30,15,20,489,0,3899,0,71
372,6,27,30,15,30,689,0,4195,0,74
373,6,27,30,15,40,922,0,4479,0,87
374,6,27,30,15,80,1331,0,4686,0,116
375,6,27,30,15,160,1400,0,4703,0,127
376,6,27,30,15,250,1404,0,4705,0,128
377,6,27,30,15,320,1405,0,4704,0,137
378,6,27,60,5,20,2291,0,4989,2,241
379,6,27,60,5,30,2353,0,4984,2,233
380,6,27,60,5,40,2449,0,4982,2,245
381,6,27,60,5,80,2556,0,4942,0,250
382,6,27,60,5,160,2595,0,4930,0,255
383,6,27,60,5,250,2582,0,4927,0,274
384,6,27,60,5,320,2588,0,4926,0,254
385,6,27,60,10,20,1355,0,4744,0,136
386,6,27,60,10,30,1495,0,4788,0,157
387,6,27,60,10,40,1720,0,4826,0,171
388,6,27,60,10,80,1955,0,4863,0,184
389,6,27,60,10,160,2016,0,4869,0,203
390,6,27,60,10,250,2020,0,4869,0,206
391,6,27,60,10,320,2017,0,4868,0,205
392,6,27,60,15,20,695,0,4276,0,75
393,6,27,60,15,30,885,0,4471,0,94
394,6,27,60,15,40,1199,0,4646,0,106
395,6,27,60,15,80,1528,0,4770,0,131
396,6,27,60,15,160,1595,0,4779,0,148
397,6,27,60,15,250,1593,0,4773,0,143
398,6,27,60,15,320,1593,0,4772,0,155
399,6,27,100,5,20,2380,0,5013,3,247
400,6,27,100,5,30,2425,0,5006,2,249
401,6,27,100,5,40,2503,0,4998,2,265
402,6,27,100,5,80,2623,0,4960,1,281
403,6,27,100,5,160,2655,0,4946,0,262
404,6,27,100,5,250,2641,0,4937,0,290
405,6,27,100,5,320,2652,0,4937,0,278
406,6,27,100,10,20,1478,0,4800,1,131
407,6,27,100,10,30,1622,0,4820,1,142
408,6,27,100,10,40,1828,0,4846,1,172
409,6,27,100,10,80,2042,0,4879,1,198
410,6,27,100,10,160,2098,0,4872,0,205
411,6,27,100,10,250,2090,0,4867,0,215
412,6,27,100,10,320,2100,0,4867,0,204
413,6,27,100,15,20,746,0,4372,1,80
414,6,27,100,15,30,957,0,4534,0,94
415,6,27,100,15,40,1264,0,4695,1,108
416,6,27,100,15,80,1581,0,4782,1,149
417,6,27,100,15,160,1645,0,4790,0,142
418,6,27,100,15,250,1646,0,4782,0,158
419,6,27,100,15,320,1645,0,4786,0,154
420,10,11,15,5,20,3342,111,5338,1344,933
421,10,11,15,5,30,3450,105,5394,1305,990
422,10,11,15,5,40,3422,101,5376,1278,963
423,10,11,15,5,80,3307,96,5320,1223,978
424,10,11,15,5,160,3386,85,5320,1182,1033
425,10,11,15,5,250,3592,81,5432,1180,1204
426,10,11,15,5,320,3710,83,5532,1195,1328
427,10,11,15,10,20,2470,20,5128,559,601
428,10,11,15,10,30,2673,19,5205,553,614
429,10,11,15,10,40,2696,18,5180,547,675
430,10,11,15,10,80,2662,15,5157,519,676
431,10,11,15,10,160,2666,16,5130,511,731
432,10,11,15,10,250,2706,15,5168,507,785
433,10,11,15,10,320,2748,16,5210,512,851
434,10,11,15,15,20,1818,7,4939,302,355
435,10,11,15,15,30,2091,5,5060,297,445
436,10,11,15,15,40,2163,6,5074,292,455
437,10,11,15,15,80,2154,6,5038,280,487
438,10,11,15,15,160,2152,4,5029,276,523
439,10,11,15,15,250,2155,3,5041,285,559
440,10,11,15,15,320,2167,4,5059,287,567
441,10,11,30,5,20,2399,21,4760,435,272
442,10,11,30,5,30,2626,16,5004,352,343
443,10,11,30,5,40,2683,13,5011,308,397
444,10,11,30,5,80,2721,10,4991,229,403
445,10,11,30,5,160,2703,7,4979,188,459
446,10,11,30,5,250,2725,7,5024,198,510
447,10,11,30,5,320,2750,7,5094,207,553
448,10,11,30,10,20,1724,6,4652,131,185
449,10,11,30,10,30,2107,4,4921,107,268
450,10,11,30,10,40,2236,5,4950,90,297
451,10,11,30,10,80,2263,5,4934,62,346
452,10,11,30,10,160,2269,5,4933,50,347
453,10,11,30,10,250,2241,6,4936,57,388
454,10,11,30,10,320,2204,7,4959,59,386
455,10,11,30,15,20,1105,2,4438,74,135
456,10,11,30,15,30,1645,2,4817,57,210
457,10,11,30,15,40,1777,2,4877,43,238
458,10,11,30,15,80,1841,3,4886,27,261
459,10,11,30,15,160,1845,2,4882,24,277
460,10,11,30,15,250,1810,3,4885,22,301
461,10,11,30,15,320,1798,5,4884,28,272
462,10,11,60,5,20,2649,29,4912,528,352
463,10,11,60,5,30,2838,25,5069,463,438
464,10,11,60,5,40,2858,20,5065,400,459
465,10,11,60,5,80,2851,15,5037,302,499
466,10,11,60,5,160,2830,9,5031,251,530
467,10,11,60,5,250,2877,9,5077,245,599
468,10,11,60,5,320,2934,8,5153,270,642
469,10,11,60,10,20,1948,7,4794,178,228
470,10,11,60,10,30,2289,6,4981,141,339
471,10,11,60,10,40,2372,6,5005,124,356
472,10,11,60,10,80,2383,5,4975,82,403
473,10,11,60,10,160,2368,6,4973,71,420
474,10,11,60,10,250,2343,6,4981,71,442
475,10,11,60,10,320,2330,7,4989,77,455
476,10,11,60,15,20,1311,4,4605,100,160
477,10,11,60,15,30,1790,4,4887,80,244
478,10,11,60,15,40,1898,3,4911,62,284
479,10,11,60,15,80,1968,4,4906,41,273
480,10,11,60,15,160,1942,4,4904,33,304
481,10,11,60,15,250,1912,2,4907,36,332
482,10,11,60,15,320,1892,3,4905,40,331
483,10,11,100,5,20,2702,29,4939,533,415
484,10,11,100,5,30,2879,26,5069,484,482
485,10,11,100,5,40,2899,20,5085,423,469
486,10,11,100,5,80,2897,15,5047,312,508
487,10,11,100,5,160,2895,10,5046,266,529
488,10,11,100,5,250,2952,10,5087,262,595
489,10,11,100,5,320,3017,12,5172,279,644
490,10,11,100,10,20,2018,7,4811,181,264
491,10,11,100,10,30,2327,7,5000,152,365
492,10,11,100,10,40,2399,7,5005,130,380
493,10,11,100,10,80,2415,7,4978,92,388
494,10,11,100,10,160,2404,6,4977,78,428
495,10,11,100,10,250,2374,7,4988,77,438
496,10,11,100,10,320,2363,8,5002,82,453
497,10,11,100,15,20,1406,4,4637,103,170
498,10,11,100,15,30,1837,4,4905,90,256
499,10,11,100,15,40,1930,4,4932,73,288
500,10,11,100,15,80,1982,4,4922,44,282
501,10,11,100,15,160,1980,3,4917,39,301
502,10,11,100,15,250,1955,2,4919,39,339
503,10,11,100,15,320,1936,3,4916,41,344
504,10,15,15,5,20,3238,22,5338,557,839
505,10,15,15,5,30,3319,18,5337,518,896
506,10,15,15,5,40,3348,16,5331,495,910
507,10,15,15,5,80,3270,15,5264,415,878
508,10,15,15,5,160,3202,12,5208,347,864
509,10,15,15,5,250,3191,12,5187,324,882
510,10,15,15,5,320,3189,12,5186,316,877
511,10,15,15,10,20,2139,6,5052,171,504
512,10,15,15,10,30,2400,4,5125,161,555
513,10,15,15,10,40,2483,4,5136,154,597
514,10,15,15,10,80,2511,5,5089,122,563
515,10,15,15,10,160,2507,4,5067,96,587
516,10,15,15,10,250,2502,4,5056,93,605
517,10,15,15,10,320,2497,4,5059,89,608
518,10,15,15,15,20,1421,5,4753,64,293
519,10,15,15,15,30,1783,3,4950,62,374
520,10,15,15,15,40,1914,4,4999,60,366
521,10,15,15,15,80,1991,3,4984,54,411
